기간,공장,공정코드,기계코드,총_생산수량,총_양품수량,전체_수율(%),운영일수,이론상_총_생산량,가동률(%)
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-4호기,7237.0,7237.0,100.0,1,30000.0,24.12
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-5호기,41498.0,41498.0,100.0,1,150000.0,27.67
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-6호기,45781.0,45781.0,100.0,1,150000.0,30.52
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사10호기,11289.0,11204.0,99.25,1,13293.0,84.92
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사11호기,13111.0,12867.0,98.14,1,13293.0,98.63
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사14호기,12895.0,12608.0,97.77,1,13293.0,97.01
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사17호기,6754.0,6592.0,97.6,1,13293.0,50.81
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사18호기,13672.0,13344.0,97.6,1,13293.0,102.85
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사20호기,5683.0,5646.0,99.35,1,13293.0,42.75
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사22호기,12615.0,11918.0,94.47,1,13293.0,94.9
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사23호기,11871.0,11577.0,97.52,1,13293.0,89.3
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사6호기,5721.0,5622.0,98.27,1,13293.0,43.04
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사7호기,4768.0,4624.0,96.98,1,13293.0,35.87
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사8호기,13651.0,13246.0,97.03,1,13293.0,102.69
2023-01-02,A관(1공장),[55] 접착/ 멸균,검사9호기,8322.0,8086.0,97.16,1,13293.0,62.6
2023-01-02,A관(1공장),[55] 접착/ 멸균,바이알캡핑기,1764.0,1695.0,96.09,1,0.0,0.0
2023-01-02,A관(1공장),[80] 누수/규격검사,누수/규격검사(1공장),126989.0,124229.0,97.83,1,112902.0,112.48
2023-01-02,C관(2공장),[10] 사출조립,조립10호기,8731.0,7199.0,82.45,1,43200.0,20.21
2023-01-02,C관(2공장),[10] 사출조립,조립11호기,27540.0,25561.0,92.81,1,43200.0,63.75
2023-01-02,C관(2공장),[10] 사출조립,조립12호기,76050.0,72717.0,95.62,1,0.0,0.0
2023-01-02,C관(2공장),[10] 사출조립,조립13호기,64287.0,58865.0,91.57,1,0.0,0.0
2023-01-02,C관(2공장),[10] 사출조립,조립14호기,36891.0,27871.0,75.55,1,43200.0,85.4
2023-01-02,C관(2공장),[10] 사출조립,조립15호기,29295.0,20034.0,68.39,1,43200.0,67.81
2023-01-02,C관(2공장),[10] 사출조립,조립16호기,51475.0,49746.0,96.64,1,43200.0,119.16
2023-01-02,C관(2공장),[10] 사출조립,조립17호기,41717.0,35052.0,84.02,1,43200.0,96.57
2023-01-02,C관(2공장),[10] 사출조립,조립18호기,57463.0,52534.0,91.42,1,43200.0,133.02
2023-01-02,C관(2공장),[10] 사출조립,조립19호기,26880.0,22520.0,83.78,1,43200.0,62.22
2023-01-02,C관(2공장),[10] 사출조립,조립20호기,23868.0,22759.0,95.35,1,43200.0,55.25
2023-01-02,C관(2공장),[10] 사출조립,조립21호기,18808.0,17076.0,90.79,1,43200.0,43.54
2023-01-02,C관(2공장),[10] 사출조립,조립23호기,15548.0,12117.0,77.93,1,43200.0,35.99
2023-01-02,C관(2공장),[10] 사출조립,조립24호기,24226.0,22105.0,91.24,1,43200.0,56.08
2023-01-02,C관(2공장),[10] 사출조립,조립25호기,30630.0,29050.0,94.84,1,43200.0,70.9
2023-01-02,C관(2공장),[10] 사출조립,조립26호기,20776.0,20495.0,98.65,1,43200.0,48.09
2023-01-02,C관(2공장),[10] 사출조립,조립40호기,48607.0,37983.0,78.14,1,43200.0,112.52
2023-01-02,C관(2공장),[10] 사출조립,조립41호기,44594.0,39892.0,89.46,1,43200.0,103.23
2023-01-02,C관(2공장),[10] 사출조립,조립43호기,16013.0,12602.0,78.7,1,43200.0,37.07
2023-01-02,C관(2공장),[10] 사출조립,조립44호기,11872.0,6630.0,55.85,1,43200.0,27.48
2023-01-02,C관(2공장),[10] 사출조립,조립45호기,18064.0,11701.0,64.78,1,43200.0,41.81
2023-01-02,C관(2공장),[10] 사출조립,조립46호기,9882.0,8832.0,89.37,1,43200.0,22.88
2023-01-02,C관(2공장),[10] 사출조립,조립47호기,10860.0,9517.0,87.63,1,43200.0,25.14
2023-01-02,C관(2공장),[10] 사출조립,조립48호기,12039.0,10251.0,85.15,1,43200.0,27.87
2023-01-02,C관(2공장),[10] 사출조립,조립49호기,18963.0,17371.0,91.6,1,43200.0,43.9
2023-01-02,C관(2공장),[10] 사출조립,조립50호기,2645.0,1524.0,57.62,1,43200.0,6.12
2023-01-02,C관(2공장),[10] 사출조립,조립51호기,22348.0,17180.0,76.87,1,43200.0,51.73
2023-01-02,C관(2공장),[10] 사출조립,조립52호기,23376.0,15995.0,68.42,1,43200.0,54.11
2023-01-02,C관(2공장),[10] 사출조립,조립53호기,11265.0,9956.0,88.38,1,43200.0,26.08
2023-01-02,C관(2공장),[10] 사출조립,조립54호기,5100.0,450.0,8.82,1,43200.0,11.81
2023-01-02,C관(2공장),[10] 사출조립,조립55호기,53429.0,39601.0,74.12,1,43200.0,123.68
